City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Kavaratti,IN,81.19,overcast clouds,10.5669,72.642,
8,Hilo,US,76.28,overcast clouds,19.7297,-155.09,
13,Hithadhoo,MV,79.81,overcast clouds,-0.6,73.0833,
14,Faanui,PF,75.27,light rain,-16.4833,-151.75,
17,The Valley,AI,88.11,clear sky,18.217,-63.0578,
18,Coahuayana,MX,82.9,overcast clouds,18.7333,-103.6833,
19,Arraial Do Cabo,BR,76.86,clear sky,-22.9661,-42.0278,
20,Victoria,HK,85.32,broken clouds,22.2855,114.1577,
23,Duobao,CN,79.52,scattered clouds,30.67,112.6895,
26,Albany,US,79.66,broken clouds,42.6001,-73.9662,
27,Porto Santo,PT,75.58,broken clouds,33.072,-16.3415,
29,Caramay,PH,78.98,moderate rain,10.1815,119.236,
34,Hatta,IN,77.63,clear sky,24.1167,79.6,
40,Misratah,LY,83.79,clear sky,32.3754,15.0925,
41,Atuona,PF,76.17,scattered clouds,-9.8,-139.0333,
45,Dossor,KZ,86.59,clear sky,47.5272,52.9811,
47,Harper,LR,81.46,light rain,4.375,-7.7169,
51,Ljubinje,BA,81.75,few clouds,42.9508,18.0886,
57,Parrita,CR,82.98,scattered clouds,9.5201,-84.3225,
58,Freeport,US,87.31,clear sky,40.6576,-73.5832,
59,Galesong,ID,77.02,clear sky,-5.3166,119.3661,
61,Manati,PR,89.71,clear sky,18.4275,-66.4921,
64,Butaritari,KI,80.74,scattered clouds,3.0707,172.7902,
69,Saint George,US,82.8,clear sky,37.1041,-113.5841,
70,Tiznit,MA,83.86,clear sky,29.5833,-9.5,
76,Puri,IN,84.72,broken clouds,19.8,85.85,
79,Keti Bandar,PK,81.41,broken clouds,24.1447,67.4497,
81,Bethel,US,84.54,broken clouds,41.3712,-73.414,
83,Tura,IN,77.18,overcast clouds,25.5198,90.2201,
90,Nguru,NG,88.79,overcast clouds,12.8791,10.4526,
93,Muros,ES,84.83,scattered clouds,42.7762,-9.0603,
97,Vinukonda,IN,88.7,overcast clouds,16.05,79.75,
101,Guhagar,IN,77.79,broken clouds,17.4842,73.1929,
102,Tutoia,BR,86.34,broken clouds,-2.7619,-42.2744,
107,Tecoanapa,MX,78.51,overcast clouds,16.5167,-98.75,
109,Asau,RO,85.28,clear sky,46.4333,26.4,
113,Kapaa,US,75.18,overcast clouds,22.0752,-159.319,
116,Chau Doc,VN,79.92,overcast clouds,10.7,105.1167,
120,Laakirchen,AT,83.55,broken clouds,47.9819,13.8217,
122,Miranda De Ebro,ES,77.81,overcast clouds,42.6865,-2.947,
127,Saint-Francois,FR,80.04,broken clouds,46.4154,3.9054,
129,West Bay,KY,89.06,scattered clouds,19.3667,-81.4167,
131,Sorong,ID,78.1,moderate rain,-0.8833,131.25,
132,Malpe,IN,79.9,overcast clouds,13.35,74.7167,
133,Vanimo,PG,78.42,broken clouds,-2.6741,141.3028,
137,Hai Duong,VN,86.0,moderate rain,20.9333,106.3167,
138,Cayenne,GF,87.84,broken clouds,4.9333,-52.3333,
141,Hobyo,SO,76.77,few clouds,5.3505,48.5268,
147,Hasaki,JP,77.4,overcast clouds,35.7333,140.8333,
149,Sinazongwe,ZM,79.72,clear sky,-17.2614,27.4618,
151,Torbay,CA,76.87,light rain,47.6666,-52.7314,
152,Westport,US,86.76,clear sky,41.1415,-73.3579,
155,Luganville,VU,76.48,overcast clouds,-15.5333,167.1667,
157,Cabo San Lucas,MX,88.52,scattered clouds,22.8909,-109.9124,
158,Ponta Do Sol,PT,77.72,broken clouds,32.6667,-17.1,
160,Bengkulu,ID,75.87,broken clouds,-3.8004,102.2655,
161,Tautira,PF,75.27,light rain,-17.7333,-149.15,
162,La Macarena,CO,79.93,broken clouds,2.1837,-73.7849,
165,Tra Vinh,VN,77.14,overcast clouds,9.9347,106.3453,
167,Netrakona,BD,85.82,broken clouds,24.8833,90.7167,
168,Mersing,MY,76.71,overcast clouds,2.4312,103.8405,
171,Mpika,ZM,75.04,few clouds,-11.8343,31.4529,
176,Kribi,CM,78.17,light rain,2.95,9.9167,
179,Icara,BR,79.7,clear sky,-28.7133,-49.3,
180,Matara,LK,76.98,overcast clouds,5.9485,80.5353,
182,Morris,US,84.36,broken clouds,40.8334,-74.5329,
183,Peniche,PT,79.09,broken clouds,39.3558,-9.3811,
185,Kalush,UA,87.67,clear sky,49.0119,24.3731,
188,Marmande,FR,86.76,overcast clouds,44.5,0.1667,
189,Horsham,GB,76.01,clear sky,51.064,-0.3272,
190,Chinhoyi,ZW,79.83,clear sky,-17.3667,30.2,
192,Georgetown,MY,84.15,scattered clouds,5.4112,100.3354,
194,Patiya,BD,82.35,broken clouds,22.2931,91.9762,
196,Ghatanji,IN,78.08,scattered clouds,20.1333,78.3167,
198,Maragogi,BR,78.42,overcast clouds,-9.0122,-35.2225,
209,Sol-Iletsk,RU,82.4,few clouds,51.1631,54.9918,
210,Angouleme,FR,85.59,clear sky,45.65,0.15,
212,Manokwari,ID,77.86,overcast clouds,-0.8667,134.0833,
214,Padang,ID,78.87,overcast clouds,-0.9492,100.3543,
216,Fare,PF,76.12,scattered clouds,-16.7,-151.0167,
221,Nabire,ID,75.06,light rain,-3.3667,135.4833,
222,Posse,BR,84.34,few clouds,-14.0931,-46.3694,
224,Heide,DE,78.75,overcast clouds,54.2,9.1,
225,Seymour,US,82.53,few clouds,38.9592,-85.8903,
228,La Rioja,ES,76.78,scattered clouds,42.25,-2.5,
229,Mangan,IN,78.49,overcast clouds,27.5167,88.5333,
231,Sanski Most,BA,87.46,clear sky,44.7653,16.6656,
232,Mocorito,MX,85.26,overcast clouds,25.4833,-107.9167,
234,Kahului,US,77.85,clear sky,20.8947,-156.47,
235,Vilia,GR,82.15,scattered clouds,38.1667,23.3333,
246,Valladolid,ES,85.71,clear sky,41.5833,-4.6667,
249,Kerema,PG,77.22,overcast clouds,-7.9631,145.7785,
253,Ormara,PK,80.6,overcast clouds,25.2088,64.6357,
254,Gazojak,TM,83.07,clear sky,41.1875,61.4036,
255,Meulaboh,ID,76.32,heavy intensity rain,4.1363,96.1285,
256,Umm Lajj,SA,87.66,broken clouds,25.0213,37.2685,
257,Baleno,PH,79.2,moderate rain,12.4739,123.4982,
260,Kholm-Zhirkovskiy,RU,82.27,few clouds,55.5189,33.4731,
261,Oussouye,SN,81.79,moderate rain,12.485,-16.5469,
262,Samarai,PG,79.03,overcast clouds,-10.6167,150.6667,
264,Perelyub,RU,84.67,few clouds,51.8667,50.3667,
